name;program_id;CIP;CIP_desc;College;Department;Program;Award;year
Dr. Mansfield Sporer MD;448;130501;Educational Tech;College of Education;Education;Learning Design & Technology;Doctoral Degrees;2001
Giovanna Nikolaus; 39;110101;Computer/Info Science, General;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Bachelor's Degrees;2001
Davonte Skiles-Lubowitz; 24;470604;Automotive Mechanics Tech;Career & Tech Ed;Technology;Automotive Mechanics Tech;Certs of Achievement;2001
Zakary Wuckert DDS;247;521101;International Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Bachelor's Degrees;2001
Olympia Ward;427; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Certs of Achievement;2001
Djuana Wiegand;376;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Bachelor's Degrees;2001
Dr. Kordell Murphy DVM;121;140801;Civil Engineering;College of Engineering;Engineering;Civil Engineering;Master's Degrees;2001
Long Rath;284;131205;Secondary Education;College of Arts & Sciences;Social Sciences;Education;Other;2001
Armani Toy DVM;234;450601;Economics;College of Arts & Sciences;Social Sciences;Economics;Doctoral Degrees;2001
Miss Dayana Ondricka PhD;437;131299;Teacher Education;College of Arts & Sciences;Social Sciences;Education;Master's Degrees;2001
Dilan Monahan;250;160402;Russian;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2001
Miss Caitlin Smith MD;187;160301;Chinese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Doctoral Degrees;2001
Mrs. Mercy Zemlak;459;400202;Astrophysics;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Bachelor's Degrees;2001
Natalia Corwin;235;513801;Registered Nursing/Reg Nurse;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Nursing, Upper Division;Bachelor's Degrees;2001
Treva Reichel; 87;260905;Biomed Sci (Reproductive Biol);School of Medicine;School of Medicine;Developmental & Reprod Biology;Master's Degrees;2001
Ms. Leana Towne PhD;198;400607;Oceanography;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Oceanography;Master's Degrees;2001
Tuan O'Conner;233;450701;Geography;College of Arts & Sciences;Social Sciences;Geography;Master's Degrees;2001
Vanessa Lind;390;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Doctoral Degrees;2001
Miss Kallie Hartmann; 37;500701;Art;College of Arts & Sciences;Arts & Humanities;Art;Master's Degrees;2001
Elsworth Morar I;446;310501;Health & Physcial Education;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2001
Mrs. Altie Schultz;286;540101;History;College of Arts & Sciences;Social Sciences;History;Bachelor's Degrees;2001
Belle Collins;388;130203;Indian/Native Am Education;Ka Haka Ula O Keelikolani;Hawaiian Lang & Lit;Indigenous Education;Other;2001
Ronny Gulgowski;341;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Doctoral Degrees;2001
Lona Will;290;270101;Mathematics, General;College of Arts & Sciences;Natural Sciences;Mathematics;Doctoral Degrees;2001
Adolphus King;321;520801;Finance;College of Business Admin;Business Administration;Finance;Bachelor's Degrees;2001
Kelsea Heidenreich;230;131202;Elementary Education;College of Arts & Sciences;Social Sciences;Education;Other;2001
Wendel Kassulke II;376;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Bachelor's Degrees;2001
Tanika Rosenbaum;472;512201;Pub Health Sci & Epidemiology;School of Social Work;School of Social Work;Public Health;Master's Degrees;2001
Carolyn Reichert;403;240103;Humanities;Humanities Division;Humanities;Philosophy;Bachelor's Degrees;2001
Elayne Corwin MD;372;520903;Travel Industry Management;School of Travel Industry Mgt;Travel Industry Management;Travel Industry Management;Bachelor's Degrees;2001
Angelica Grimes DDS;364;460000;Construction Trades, General;Career & Tech Ed;Technology;Sustainable Construction Tech;Certs of Achievement;2001
Cherie Parisian;105;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Bachelor's Degrees;2001
Libbie Berge;  6; 30103;Environmental Studies;College of Arts & Sciences;Social Sciences;Environmental Studies;Bachelor's Degrees;2001
Jessenia Reinger-Wolf;284;131205;Secondary Education;College of Arts & Sciences;Social Sciences;Education;Other;2001
Fabian Krajcik Sr.;338;480506;Sheet Metal & Plastics;Career & Tech Ed;Technology;Sheet Metal & Plastics Tech;Associate Degrees;2001
Alphons McGlynn;265; 50102;American Studies;College of Arts & Sciences;Arts & Humanities;American Studies;Master's Degrees;2001
Gideon Runolfsdottir; 15;451001;Political Science/Government;College of Arts & Sciences;Social Sciences;Political Science;Doctoral Degrees;2001
Lavonda Terry; 13;451001;Political Science/Government;College of Arts & Sciences;Social Sciences;Political Science;Bachelor's Degrees;2001
Duff Prosacco;217;150701;Occuptnl Environmtl Safety Mgt;Career & Tech Ed;Public Services;Occupational Envir Safety Mgt;Certs of Achievement;2001
Aurelia Zieme;168;400404;Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Meteorology;Doctoral Degrees;2001
Tennessee Orn; 31;520401;Adm Asst/Secretarial Science;Career & Tech Ed;Business Education;Business Technology;Associate Degrees;2001
Elna Satterfield;144;513901;Lic Practical/Voc Nurse Trng;Career & Tech Ed;Health Services;Nursing;Certs of Achievement;2001
Ms. Cherrie Senger;319;420101;Psychology, General;College of Arts & Sciences;Social Sciences;Psychology;Master's Degrees;2001
Dr. Nery Gusikowski I;205;440401;Public Administration;College of Arts & Sciences;Social Sciences;Public Admin;Master's Degrees;2001
Evans Roberts IV;287;422803;Counseling Psychology;College of Arts & Sciences;Social Sciences;Psychology;Master's Degrees;2001
Mr. Winford Littel Jr.;229;450701;Geography;College of Arts & Sciences;Social Sciences;Geography;Bachelor's Degrees;2001
Kristin Jaskolski;181;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Finance;Bachelor's Degrees;2001
Pete Bahringer;407;190504;Human Nutrition;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Doctoral Degrees;2001
Ms. Carlie Schaefer;222;512001;Pharmacy;College of Pharmacy;Pharmacy;Pharmacy Studies;Bachelor's Degrees;2001
Viridiana Johnson;486;512201;Pub Health Sci & Epidemiology;School of Social Work;School of Social Work;Public Health;Bachelor's Degrees;2001
Dr. Kimball Prohaska;226;450101;Social Sciences;Social Sciences Division;Social Science;Psychology;Bachelor's Degrees;2001
Infant Kreiger II;333;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2001
Jeannine Considine; 70; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Associate Degrees;2001
Beryl Mohr;337;131401;Eng for Speakers of other Lang;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Master's Degrees;2001
Fronnie Smith PhD;445;151303;Arch Engineering & CAD Tech;Career & Tech Ed;Technology;Architectural Eng & CAD Tech;Certs of Achievement;2001
Kianna Corwin;182; 30104;Global Environmental Science;College of Arts & Sciences;Social Sciences;Environmental Science;Bachelor's Degrees;2001
Kenny Jones; 54;250101;Library Studies;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2001
Dan Jacobi-Lindgren;233;450701;Geography;College of Arts & Sciences;Social Sciences;Geography;Master's Degrees;2001
Trenten Feeney;428;140901;Computer Engineering, General;College of Engineering;Engineering;Computer Engineering;Bachelor's Degrees;2001
Mr. Porter Keebler PhD;309;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Other;2001
Palma Upton-Cummings;347;261309;Epidemiology;School of Medicine;School of Medicine;Public Health;Doctoral Degrees;2001
Pamelia Lubowitz;270;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Doctoral Degrees;2001
Kati Gerhold;275;131001;Special Education;College of Education;Education;Special Education;Other;2001
Raquan McDermott; 43;260701;Zoology;College of Arts & Sciences;Natural Sciences;Zoology;Master's Degrees;2001
Annamarie Gusikowski;441;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabrication & Repair;Certs of Achievement;2001
Tyrin Jerde DVM; 66;521001;Human Resource Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Bachelor's Degrees;2001
Mrs. Yolanda Kihn;169;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Master's Degrees;2001
Veda Abshire DVM;383;110802;Data Modeling/Warehousing;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2001
Mr. Trinity Lubowitz DDS;309;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Other;2001
Israel Zieme;491;400401;Atmospheric Sci & Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Atmospheric Sciences;Doctoral Degrees;2001
Mr. Vance Windler DDS; 31;520401;Adm Asst/Secretarial Science;Career & Tech Ed;Business Education;Business Technology;Associate Degrees;2001
Ms. Tabetha Kilback DDS;372;520903;Travel Industry Management;School of Travel Industry Mgt;Travel Industry Management;Travel Industry Management;Bachelor's Degrees;2001
Debera Moore; 55;130901;Educational Foundations;College of Education;Education;Ed Foundations;Master's Degrees;2001
Jaquez Kassulke;442;130401;Educational Administration;College of Education;Education;Ed Foundations;Other;2001
Dr. Kenia Turner PhD; 14; 30201;Natural Resource Mgmt & Policy;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Nat Res & Env Mgt;Bachelor's Degrees;2001
Jamarcus Gerhold;192;510602;Dental Hygiene;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Dental Hygiene;Bachelor's Degrees;2001
Dionte Hintz-Treutel;156; 50299;Ethnic & Cult Studies, Oth;College of Arts & Sciences;Social Sciences;Ethnic Studies;Bachelor's Degrees;2001
Eli Ziemann; 51;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Cell & Molecular Biology;Master's Degrees;2001
Emerson Dare;125;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire Science;Certs of Achievement;2001
Marcelo Labadie;258;120500;Food Service;Career & Tech Ed;Food Services;Food Service - Culinary Arts;Certs of Achievement;2001
Alexandra Kovacek;326;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabrication & Repair;Associate Degrees;2001
Mart Deckow; 49;521201;Business Computer Info Sys;College of Business Admin;Business Administration;Management Information Systems;Bachelor's Degrees;2001
Samantha Torp;213;451101;Sociology;College of Arts & Sciences;Social Sciences;Sociology;Master's Degrees;2001
Kenney Kerluke;362;510904;Emergency Medical Services Mgt;Career & Tech Ed;Health Services;Mobile Intens Care Technician;Associate Degrees;2001
Mr. Gerrit Strosin;187;160301;Chinese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Doctoral Degrees;2001
Marjorie Rowe PhD; 16;520701;Entrepreneurship;College of Business Admin;Business Administration;Entrepreneurship;Bachelor's Degrees;2001
Job Schinner-Bednar;132;260305;Plant Pathology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Doctoral Degrees;2001
Laddie Marquardt;  5;131210;Early Childhood Education;Career & Tech Ed;Public Services;Early Childhood Education;Associate Degrees;2001
Walton Langworth III;154;260101;Biology/Biological Sci, Gen;College of Arts & Sciences;Natural Sciences;Biology;Bachelor's Degrees;2001
Kylee O'Kon;219;440000;Adult Services;Career & Tech Ed;Public Services;Human Services;Associate Degrees;2001
Mrs. Altha Nicolas DVM;340;511004;Medical Laboratory Technician;Career & Tech Ed;Health Services;Medical Lab Technician;Associate Degrees;2001
Kane Dickens-Konopelski;133; 10301;Agriculture;Career & Tech Ed;Technology;Agriculture;Certs of Achievement;2001
Armani Emmerich II; 51;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Cell & Molecular Biology;Master's Degrees;2001
Della Kuhlman; 18; 30104;Global Environmental Science;College of Arts & Sciences;Natural Sciences;Trop Conserv Bio & Environ Sci;Master's Degrees;2001
Anna Homenick;374;161001;Am Ind/Nat Am Lang Lit Ling;Ka Haka Ula O Keelikolani;Hawaiian Lang & Lit;Hawn&Indigenous Lang&Cult Rev;Doctoral Degrees;2001
Dangelo Bradtke-Treutel; 70; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Associate Degrees;2001
Miss Markita Pfeffer;395;310505;Exercise & Sports Science;Career & Tech Ed;Health Services;Exercise and Sport Science;Certs of Achievement;2001
Liddie Ankunding;483;190707;Family and Community services;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Family & Consumer Sci;Bachelor's Degrees;2001
Anderson Eichmann;328; 11105;Plant & Environmtl Protect Sci;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Bachelor's Degrees;2001
Tawanda Boyle;310;470201;Refrigeration & Air Cond;Career & Tech Ed;Technology;Refrigeration & Air Cond Tech;Associate Degrees;2001
Karon Macejkovic-Rodriguez; 45;520401;Adm Asst/Secretarial Science;Career & Tech Ed;Business Education;Business Technology;Certs of Achievement;2001
Maymie Marks;106;500999;Music, Other;General & Pre-Prof Ed;Music & Entertain Learning Exp;Music & Entertain Learning Exp;Associate Degrees;2001
Dameon Johnston;247;521101;International Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Bachelor's Degrees;2001
Dr. Orpha Lehner;218;100303;Digital Media;Career & Tech Ed;Technology;Digital Media Production;Certs of Achievement;2001
Norberto Watsica V;257;470605;Diesel Mechanics;Career & Tech Ed;Technology;Diesel Mechanics;Certs of Achievement;2001
Merle King;129;151202;Electronics & Comp Engin Tech;Career & Tech Ed;Technology;Electronics & Comp Engin Tech;Associate Degrees;2001
Hughie Quitzon;385;110101;Computer/Info Science, General;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2001
Dr. Luverne Schaden DDS;152;420101;Psychology, General;College of Arts & Sciences;Social Sciences;Psychology;Doctoral Degrees;2001
Mr. Johnson Hahn;129;151202;Electronics & Comp Engin Tech;Career & Tech Ed;Technology;Electronics & Comp Engin Tech;Associate Degrees;2001
Esperanza Bartoletti;138;260702;Entomology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Doctoral Degrees;2001
Ms. Miranda Schmeler;159;520301;Accounting;Col of Business & Economics;Accounting;;Bachelor's Degrees;2001
Clair Haley;351;520799;Entrep & Small Business, Other;Career & Tech Ed;Business Education;Applied Business & Infor Tech;Bachelor's Degrees;2001
Bilal Dooley; 90;500301;Dance;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Master's Degrees;2001
Aleta Leannon DDS; 83;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire Science;Associate Degrees;2001
Mr. Darian Ziemann Sr.; 17;470604;Automotive Mechanics Tech;Career & Tech Ed;Technology;Automotive Tech;Associate Degrees;2001
Carley Renner;353;310505;Exercise & Sports Science;Career & Tech Ed;Health Services;Exercise and Sport Science;Associate Degrees;2001
Kathryne O'Reilly;155;451001;Political Science/Government;College of Arts & Sciences;Social Sciences;Political Science;Master's Degrees;2001
Mr. Antwon Nicolas III;180;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Management;Bachelor's Degrees;2001
Miss Argie Hickle PhD;327;460302;Elec Install & Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2001
Ms. Octa Hartmann;137; 11299;Soil Sciences, Other;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Tropical Plant & Soil Sci;Doctoral Degrees;2001
Andy Kuphal;388;130203;Indian/Native Am Education;Ka Haka Ula O Keelikolani;Hawaiian Lang & Lit;Indigenous Education;Other;2001
Liddie Sawayn PhD;418;460412;Bldg/Construction SiteMgmt/Mgr;Career & Tech Ed;Technology;Construction Management;Associate Degrees;2001
Braelyn Weber-Kohler;353;310505;Exercise & Sports Science;Career & Tech Ed;Health Services;Exercise and Sport Science;Associate Degrees;2001
Carina McDermott;166;450101;Social Sciences;Social Sciences Division;Social Science;Sociology;Bachelor's Degrees;2001
Jarred Weber-Sauer;455;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Hospitality and Tourism;Bachelor's Degrees;2001
Glover Cummings; 92;130101;Education, General;College of Education;Education;Inst for Teacher Ed;Doctoral Degrees;2001
Cooper Moore;209;240103;Humanities;Humanities Division;Humanities;English;Bachelor's Degrees;2001
Mrs. Chrissy Rodriguez; 76;450901;International Relations;College of Arts & Sciences;Arts & Humanities;China-U.S. Relations;Master's Degrees;2001
Shardae Kulas;133; 10301;Agriculture;Career & Tech Ed;Technology;Agriculture;Certs of Achievement;2001
Javon Bechtelar PhD;290;270101;Mathematics, General;College of Arts & Sciences;Natural Sciences;Mathematics;Doctoral Degrees;2001
Paralee Prosacco;440;513818;Nursing Practice;College of Arts & Sciences;School of Nursing;Nursing Practice;Other;2001
Manie Lesch;139;131210;Early Childhood Education;College of Education;Education;Curriculum Studies;Master's Degrees;2001
Mozella Kreiger;272;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2001
Aubree Grady;407;190504;Human Nutrition;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Doctoral Degrees;2001
Ashlie Reichert-Casper;421;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Biomed Sci(Cell & Molecular Bio);Master's Degrees;2001
Lisle Lowe; 38;160303;Korean;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2001
Kathern Terry;227;512201;Pub Health Sci & Epidemiology;School of Medicine;School of Medicine;Public Health;Doctoral Degrees;2001
Dr. Memphis Cassin IV;428;140901;Computer Engineering, General;College of Engineering;Engineering;Computer Engineering;Bachelor's Degrees;2001
Boone Swaniawski DVM;209;240103;Humanities;Humanities Division;Humanities;English;Bachelor's Degrees;2001
Brittnie Raynor;498;261309;Epidemiology;School of Medicine;School of Medicine;Public Health Studies;Doctoral Degrees;2001
Kiarra Nienow; 35;470603;Auto Body Repair & Painting;Career & Tech Ed;Technology;Auto Body Repair & Painting;Associate Degrees;2001
Mr. Lavar O'Kon;136;260701;Zoology;College of Arts & Sciences;Natural Sciences;Zoology;Doctoral Degrees;2001
Keshaun Bins;470;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Sustainable Community Food Sys;Bachelor's Degrees;2001
Ms. Kallie Luettgen;332; 50109;Pacific Islands Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Pacific Studies;Bachelor's Degrees;2001
